case_num,instance_id,repo,language,resolution_rate,total_runs,passes,all_fail,patch_hunks,f2p_count,test_patch_chars,has_test_prestaging,before_repo_set_cmd_present,leakage_signals,audit_status,human_verdict,verdict_reason,audited_by,audit_date,contamination_type,failure_reason,confidence,agent_understood_problem,agent_addressed_spec
11,instance_future-architect__vuls-436341a4a522dc83eb8bddd1164b764c8dd6bc45,future-architect/vuls,go,23%,13,3,NO,2,10,7133,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(93%): timeout — This task looks clean rather than contaminated. The fail-to-pass tests check exactly the user-visible behavior described in the problem statement: updated Fedora EOL dates, Fedora 40 support, modern W",gpt-5.4-20260305-blind,2026-04-13 09:40:40,,timeout,0.93,True,False
12,instance_tutao__tutanota-1e516e989b3c0221f4af6b297d9c0e4c43e4adc3-vbc0d9ba8f0071fbe982809910959a6ff8884dbbf,tutao/tutanota,ts,50%,14,7,NO,6,107,805,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(97%): timeout — This task appears clean. The problem statement explicitly names the new API shape: use the modern class-based initialization pattern via PriceAndConfigProvider.getInitializedInstance instead of the de,gpt-5.4-20260305-blind,2026-04-13 09:41:20,,timeout,0.97,True,False
13,instance_NodeBB__NodeBB-cfc237c2b79d8c731bbfc6cadf977ed530bfd57a-v0495b863a912fbff5749c67e860612b91825407c,NodeBB/NodeBB,js,29%,14,4,NO,7,3,1235,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(88%): contamination — This task shows strong contamination signals. The problem statement is a user-facing feature request about manually choosing avatar background colours. The agent followed that spec, spending its time ",gpt-5.4-20260305-blind,2026-04-13 09:42:56,test_coupling,contamination,0.88,True,False
14,instance_gravitational__teleport-fb0ab2b9b771377a689fd0d0374777c251e58bbf,gravitational/teleport,go,0%,14,0,YES,5,4,1797,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(84%): timeout — This case shows real contamination signals even though the agent itself mainly failed by timing out. The problem statement is broad: add watcher-event observability and provide a rolling numeric buffe,gpt-5.4-20260305-blind,2026-04-13 09:44:41,approach_lock,timeout,0.84,True,False
15,instance_internetarchive__openlibrary-7f6b722a10f822171501d027cad60afe53337732-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,internetarchive/openlibrary,python,54%,13,7,NO,13,4,9780,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(92%): timeout — This looks clean rather than contaminated. The problem statement explicitly says the regression is in the new WorkSearchScheme.process_user_query path and that queries with trailing dashes, operator-l",gpt-5.4-20260305-blind,2026-04-13 09:46:14,,timeout,0.92,True,False
16,instance_gravitational__teleport-dd3977957a67bedaf604ad6ca255ba8c7b6704e9,gravitational/teleport,go,0%,13,0,YES,4,2,538,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(97%): timeout — This task appears clean. The problem statement explicitly says proxy services should include `localhost`, `127.0.0.1`, and `::1` in additional principals, and the fail-to-pass tests check exactly that",gpt-5.4-20260305-blind,2026-04-13 09:46:54,,timeout,0.97,False,False
17,instance_protonmail__webclients-369fd37de29c14c690cb3b1c09a949189734026f,protonmail/webclients,js,0%,12,0,YES,33,12,36767,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(96%): contamination — The agent appears to have understood the feature request: it inspected the setup flow for first-time calendar creation, the sidebar where calendars are added, the holidays directory hook/model, and th",gpt-5.4-20260305-blind,2026-04-13 09:48:46,approach_lock,contamination,0.96,True,False
18,instance_protonmail__webclients-bf2e89c0c488ae1a87d503e5b09fe9dd2f2a635f,protonmail/webclients,js,67%,12,8,NO,8,1,2356,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(97%): timeout — This task looks clean. The staged F2P test is not asserting on hidden internals, magic strings, or a specific architecture; it renders CalendarMemberAndInvitationList with canEdit={false} and verifies",gpt-5.4-20260305-blind,2026-04-13 09:49:35,,timeout,0.97,True,False
19,instance_gravitational__teleport-005dcb16bacc6a5d5890c4cd302ccfd4298e275d-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,gravitational/teleport,go,0%,12,0,YES,4,2,7557,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(98%): contamination — This task is contaminated. The user-facing requirement is purely behavioral: move wal2json parsing to the client side and correctly turn wal2json messages for the `kv` table into insert/update/delete/,gpt-5.4-20260305-blind,2026-04-13 09:50:35,test_coupling,contamination,0.98,True,False
20,instance_flipt-io__flipt-af7a0be46d15f0b63f16a868d13f3b48a838e7ce,flipt-io/flipt,go,0%,14,0,YES,11,2,2795,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(96%): contamination — This task shows clear contamination. The stated problem is narrowly about migrating legacy `tracing.jaeger.enabled` to a unified `tracing.enabled` / `tracing.backend` configuration with deprecation wa,gpt-5.4-20260305-blind,2026-04-13 09:52:38,task_patch_mismatch,contamination,0.96,True,False
21,instance_gravitational__teleport-8302d467d160f869b77184e262adbe2fbc95d9ba-vce94f93ad1030e3136852817f2423c1b3ac37bc4,gravitational/teleport,go,0%,12,0,YES,10,1,1075,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(98%): contamination — This task shows clear contamination. The problem statement is high-level and behavioral: make Touch ID registration and login work on macOS when availability checks pass. But the fail-to-pass test pat,gpt-5.4-20260305-blind,2026-04-13 09:54:29,test_coupling,contamination,0.98,True,False
22,instance_tutao__tutanota-219bc8f05d7b980e038bc1524cb021bf56397a1b-vee878bb72091875e912c52fc32bc60ec3760227b,tutao/tutanota,ts,50%,14,7,NO,1,78,930,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(97%): contamination — This looks contaminated rather than genuinely hard. The stated problem is about clear routing by message type, serial processing of entity updates, consistent unread-counter delivery, and internally c",gpt-5.4-20260305-blind,2026-04-13 09:56:51,test_coupling,contamination,0.97,True,False
23,instance_flipt-io__flipt-cd18e54a0371fa222304742c6312e9ac37ea86c1,flipt-io/flipt,go,0%,14,0,YES,6,10,12080,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(90%): contamination — This looks contaminated rather than merely hard. The stated task is narrowly about exposing two public entry points so tests can decode the default configuration and run schema validation. However, th",gpt-5.4-20260305-blind,2026-04-13 09:59:53,undiscoverable_requirement,contamination,0.9,False,False
24,instance_future-architect__vuls-8d5ea98e50cf616847f4e5a2df300395d1f719e9,future-architect/vuls,go,7%,14,1,NO,5,1,1606,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(99%): contamination — This task is clearly contaminated. The user-facing requirement is to add a -wp-ignore-inactive flag so inactive WordPress plugins/themes are not scanned. Fair tests would check flag registration, conf",gpt-5.4-20260305-blind,2026-04-13 10:00:51,test_coupling,contamination,0.99,True,False
25,instance_flipt-io__flipt-ebb3f84c74d61eee4d8c6875140b990eee62e146,flipt-io/flipt,go,0%,14,0,YES,11,2,1508,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(94%): contamination — This case shows real contamination. The agent clearly understood the bug and implemented the core behavior the problem describes: bootstrap token and expiration were added to config/runtime handling, ",gpt-5.4-20260305-blind,2026-04-13 10:02:53,test_coupling,contamination,0.94,True,True
26,instance_internetarchive__openlibrary-431442c92887a3aece3f8aa771dd029738a80eb1-v76304ecdb3a5954fcf13feb710e8c40fcf24b73c,internetarchive/openlibrary,python,54%,13,7,NO,2,7,1546,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(96%): agent_error — This task looks clean. The problem statement explicitly asks for a helper to replace a child node in a Luqum parse tree, specifies the call pattern as `(parent, old_child, new_child)`, says it should ",gpt-5.4-20260305-blind,2026-04-13 10:03:54,,agent_error,0.96,False,False
27,instance_gravitational__teleport-af5e2517de7d18406b614e413aca61c319312171-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,gravitational/teleport,go,17%,12,2,NO,4,2,17850,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(95%): timeout — This task looks clean, not contaminated. The F2P test `TestMux/SSHProxyHelloSignature` checks exactly the behavior described in the problem statement: a connection beginning with the public `Teleport-",gpt-5.4-20260305-blind,2026-04-13 10:04:43,,timeout,0.95,True,False
28,instance_internetarchive__openlibrary-60725705782832a2cb22e17c49697948a42a9d03-v298a7a812ceed28c4c18355a091f1b268fe56d86,internetarchive/openlibrary,python,54%,13,7,NO,4,1,857,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(98%): agent_error — This task appears clean. The problem statement narrowly asks for a public `User.get_safe_mode()` in `openlibrary/plugins/upstream/models.py` that returns `""yes""`, `""no""`, or `""""`, and reflects the lat",gpt-5.4-20260305-blind,2026-04-13 10:05:35,,agent_error,0.98,False,False
29,instance_NodeBB__NodeBB-b1f9ad5534bb3a44dab5364f659876a4b7fe34c1-vnan,NodeBB/NodeBB,js,71%,14,10,NO,7,1,4471,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(98%): timeout — This task appears clean. The problem statement explicitly says that `sortedSetsCardSum` should support score ranges (`min` and `max`) and return accurate counts efficiently. The F2P test does exactly ,gpt-5.4-20260305-blind,2026-04-13 10:06:07,,timeout,0.98,True,False
30,instance_navidrome__navidrome-69e0a266f48bae24a11312e9efbe495a337e4c84,navidrome/navidrome,go,0%,14,0,YES,7,1,9550,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(92%): timeout — This task shows clear contamination. The issue description is behavioral and architectural at a high level: JWTs should carry only artwork identity, size should move to an HTTP query parameter, and pu",gpt-5.4-20260305-blind,2026-04-13 10:08:03,test_coupling,timeout,0.92,True,False
31,instance_flipt-io__flipt-84806a178447e766380cc66b14dee9c6eeb534f4,flipt-io/flipt,go,0%,14,0,YES,9,8,4736,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(98%): contamination — This task shows clear contamination. The stated bug is about user-visible configuration behavior: OCI configs should accept `bundles_directory`, `poll_interval`, and `authentication`, invalid reposito",gpt-5.4-20260305-blind,2026-04-13 10:09:13,test_coupling,contamination,0.98,True,False
32,instance_future-architect__vuls-fd18df1dd4e4360f8932bc4b894bd8b40d654e7c,future-architect/vuls,go,0%,13,0,YES,5,1,1946,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(97%): contamination — This looks clearly contaminated rather than genuinely hard. The agent understood the request and implemented the core requirement: extracting the OS version from `report.Metadata.OS.Name` into `ScanRe,gpt-5.4-20260305-blind,2026-04-13 10:10:24,undiscoverable_requirement,contamination,0.97,True,True
33,instance_ansible__ansible-949c503f2ef4b2c5d668af0492a5c0db1ab86140-v0f01c69f1e2528b935359cfe578530722bca2c59,ansible/ansible,python,0%,13,0,YES,4,4,7066,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(97%): timeout — The trajectory shows the agent broadly understood the reported bug: it inspected `lib/ansible/cli/config.py`, `lib/ansible/cli/galaxy.py`, `lib/ansible/config/manager.py`, and the relevant base config",gpt-5.4-20260305-blind,2026-04-13 10:12:18,test_coupling,timeout,0.97,True,False
34,instance_internetarchive__openlibrary-fdbc0d8f418333c7e575c40b661b582c301ef7ac-v13642507b4fc1f8d234172bf8129942da2c2ca26,internetarchive/openlibrary,python,36%,14,5,NO,4,1,1729,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(97%): timeout — This task appears clean. The problem statement explicitly says that normalization should remove three exact placeholder values: `publishers == [""????""]`, `authors == [{""name"": ""????""}]`, and `publish_",gpt-5.4-20260305-blind,2026-04-13 10:12:51,,timeout,0.97,True,True
35,instance_element-hq__element-web-f14374a51c153f64f313243f2df6ea4971db4e15,element-hq/element-web,js,29%,14,4,NO,17,1,661,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(98%): timeout — This task looks clean. The problem statement explicitly says the tombstone/replacement notice should use semantic HTML markup such as paragraph elements and clearly communicate that the room has been ,gpt-5.4-20260305-blind,2026-04-13 10:13:26,,timeout,0.98,True,False
36,instance_element-hq__element-web-72a8f8f03b1a01bb70ef8a5bb61759416991b32c-vnan,element-hq/element-web,js,29%,14,4,NO,3,3,1698,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(91%): unclear — This looks clean, not contaminated. The F2P tests are straightforward behavioral checks: they render `useWindowWidth`, expect it to return the current `UIStore.instance.windowWidth`, then mutate that ",gpt-5.4-20260305-blind,2026-04-13 10:14:53,,unclear,0.91,True,True
37,instance_gravitational__teleport-96019ce0be7a2c8e36363f359eb7c943b41dde70,gravitational/teleport,go,14%,14,2,NO,2,4,1446,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(98%): agent_error — This task appears clean. The problem statement explicitly says `authenticate` should return `AccessDenied` only for auth/authorization failures and otherwise wrap and return the original error type. T,gpt-5.4-20260305-blind,2026-04-13 10:15:31,,agent_error,0.98,False,False
38,instance_protonmail__webclients-708ed4a299711f0fa79a907cc5847cfd39c0fc71,protonmail/webclients,js,83%,12,10,NO,4,3,3192,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(97%): agent_error — This task looks clean. The problem statement is specifically about eligibility for users with recent subscription cancellations, and the staged F2P tests are behavioral checks on that same logic: free",gpt-5.4-20260305-blind,2026-04-13 10:16:38,,agent_error,0.97,True,True
39,instance_internetarchive__openlibrary-bb152d23c004f3d68986877143bb0f83531fe401-ve8c8d62a2b60610a3c4631f5f23ed866bada9818,internetarchive/openlibrary,python,0%,12,0,YES,4,3,1316,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(95%): contamination — This task is contaminated. The stated problem is broad and behavioral: make archival state consistent, standardize packaging, validate uploads, add concurrency controls, and enforce a zero-padded sche",gpt-5.4-20260305-blind,2026-04-13 10:18:05,test_coupling,contamination,0.95,True,False
40,instance_NodeBB__NodeBB-b398321a5eb913666f903a794219833926881a8f-vd59a5728dfc977f44533186ace531248c2917516,NodeBB/NodeBB,js,29%,14,4,NO,11,4,1081,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(95%): timeout — This looks clean, not contaminated. The problem statement explicitly says to introduce a global `chat:privileged` permission, notes that existing privilege sets do not expose it, and calls out UI visi",gpt-5.4-20260305-blind,2026-04-13 10:19:37,,timeout,0.95,True,False
41,instance_gravitational__teleport-89f0432ad5dc70f1f6a30ec3a8363d548371a718,gravitational/teleport,go,8%,13,1,NO,6,1,917,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(93%): contamination — This task shows strong contamination. The agent understood the security issue and pursued the natural solution: add a bounded-read helper and swap it into HTTP request/response body readers. The agent,gpt-5.4-20260305-blind,2026-04-13 10:22:12,undiscoverable_requirement,contamination,0.93,True,False
42,instance_tutao__tutanota-fe240cbf7f0fdd6744ef7bef8cb61676bcdbb621-vc4e41fd0029957297843cb9dec4a25c7c756f029,tutao/tutanota,ts,29%,14,4,NO,9,107,3455,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(95%): timeout — This task shows clear contamination in the fail-to-pass tests. The stated requirement is behavior-level: reject calendar events with invalid dates, start>=end, or pre-1970 starts consistently across m",gpt-5.4-20260305-blind,2026-04-13 10:23:44,approach_lock,timeout,0.95,True,False
43,instance_protonmail__webclients-b9387af4cdf79c2cb2a221dea33d665ef789512e,protonmail/webclients,js,8%,13,1,NO,6,7,4822,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(91%): timeout — This looks clean rather than contaminated. The problem statement explicitly asks for a new metric named/schema-aligned with `web_drive_download_mechanism_success_rate_total_v1`, segmented by mechanism",gpt-5.4-20260305-blind,2026-04-13 10:24:56,,timeout,0.91,True,False
44,instance_internetarchive__openlibrary-3f580a5f244c299d936d73d9e327ba873b6401d9-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,internetarchive/openlibrary,python,86%,14,12,NO,3,2,2687,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(96%): agent_error — This benchmark looks clean. The problem statement explicitly says that constant-like sequences used by autocomplete must be immutable, stably ordered, and that entry points accepting collections shoul",gpt-5.4-20260305-blind,2026-04-13 10:25:54,,agent_error,0.96,True,False
45,instance_qutebrowser__qutebrowser-0833b5f6f140d04200ec91605f88704dd18e2970-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,qutebrowser/qutebrowser,python,69%,13,9,NO,3,1,696,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(98%): agent_error — This task appears clean. The problem statement explicitly says the WebKit `NetworkReply` should emit `errorOccurred` instead of deprecated `error` when constructing an error reply. The F2P test reflec,gpt-5.4-20260305-blind,2026-04-13 10:26:28,,agent_error,0.98,True,False
46,instance_protonmail__webclients-caf10ba9ab2677761c88522d1ba8ad025779c492,protonmail/webclients,js,0%,12,0,YES,84,6,7353,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(91%): contamination — This looks contaminated rather than genuinely hard. The agent understood the ask at a high level and started the expected kind of work: auditing the scattered calendar modules and planning a domain-ba,gpt-5.4-20260305-blind,2026-04-13 10:29:01,approach_lock,contamination,0.91,True,False
47,instance_flipt-io__flipt-b22f5f02e40b225b6b93fff472914973422e97c6,flipt-io/flipt,go,46%,13,6,NO,8,2,3735,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(92%): agent_error — The visible F2P test `TestStore_Copy` is substantially aligned with the problem statement: it verifies copying between tagged local OCI refs, rejection when source or destination lacks a tag, returned",gpt-5.4-20260305-blind,2026-04-13 10:30:34,,agent_error,0.92,True,False
48,instance_element-hq__element-web-b007ea81b2ccd001b00f332bee65070aa7fc00f9-vnan,element-hq/element-web,js,0%,13,0,YES,2,7,3187,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(94%): contamination — This task shows clear behavioral contamination around `arraySmoothingResample`. The prompt describes the feature at a high level: deterministic smoothing resample for downsampling/upsampling/identity ,gpt-5.4-20260305-blind,2026-04-13 10:31:47,undiscoverable_requirement,contamination,0.94,True,True
49,instance_future-architect__vuls-e1df74cbc1a1d1889428b3333a3b2405c4651993,future-architect/vuls,go,86%,14,12,NO,4,2,363,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,LLM_BLIND(99%): agent_error — This task looks clean. The problem statement explicitly says Amazon Linux 2023 now reports versions like `2023.3.20240312` and that the parser should extract the major version `2023`. The F2P test doe,gpt-5.4-20260305-blind,2026-04-13 10:32:31,,agent_error,0.99,True,False
50,instance_gravitational__teleport-c782838c3a174fdff80cafd8cd3b1aa4dae8beb2,gravitational/teleport,go,0%,14,0,YES,6,1,8718,YES,YES,,LLM_ANALYZED_BLIND,DOWNGRADE_CLEAN,"LLM_BLIND(92%): timeout — The task looks fair. The problem statement itself explicitly says that pre-v7 remotes still rely on legacy monolithic ClusterConfig, that the cache policy is incorrectly watching split resources for o",gpt-5.4-20260305-blind,2026-04-13 10:33:42,,timeout,0.92,True,False
51,instance_qutebrowser__qutebrowser-fec187c2cb53d769c2682b35ca77858a811414a8-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d,qutebrowser/qutebrowser,python,15%,13,2,NO,1,1,625,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(97%): contamination — This looks contaminated rather than genuinely hard. The spec is about URL-encoding search parameters, but the fail-to-pass test asserts a different behavior: when `open_base_url=True` and the input is",gpt-5.4-20260305-blind,2026-04-13 10:34:36,task_patch_mismatch,contamination,0.97,True,False
52,instance_ansible__ansible-489156378c8e97374a75a544c7c9c2c0dd8146d1-v390e508d27db7a51eece36bb6d9698b63a5b638a,ansible/ansible,python,67%,12,8,NO,3,3,2920,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,LLM_BLIND(98%): contamination — This task shows clear contamination. The problem statement is purely about user-visible behavior: retry 429/500/502 for a bounded time and emit a warning when rate limiting occurred. The agent underst,gpt-5.4-20260305-blind,2026-04-13 10:36:04,test_coupling,contamination,0.98,True,True
53,instance_ansible__ansible-984216f52e76b904e5b0fa0fb956ab4f1e0a7751-v1055803c3a812189a1133297f7f5468579283f86,ansible/ansible,python,21%,14,3,NO,8,1,2222,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(96%): contamination — This task shows clear contamination. The agent understood the bug report and was working in the right places, but the benchmark's sole fail-to-pass test does not actually validate the user-facing beha",gpt-5.4-20260305-blind,2026-04-13 10:37:58,test_coupling,contamination,0.96,True,False
54,instance_protonmail__webclients-428cd033fede5fd6ae9dbc7ab634e010b10e4209,protonmail/webclients,js,8%,13,1,NO,6,7,7956,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(85%): contamination — The agent plainly understood the user-facing requirement: recovery must include both regular and trashed photo items, propagate failures consistently, and auto-resume from persisted state. It explored",gpt-5.4-20260305-blind,2026-04-13 10:40:39,test_coupling,contamination,0.85,True,False
55,instance_protonmail__webclients-5f0745dd6993bb1430a951c62a49807c6635cd77,protonmail/webclients,js,0%,12,0,YES,13,3,3010,YES,YES,,LLM_ANALYZED_BLIND,CONFIRMED_SEVERE,"LLM_BLIND(95%): contamination — This task shows clear contamination. The problem statement is behavioral and flow-level: invalid BTC amounts, loading/error UI, showing address/amount/QR, and validating payment tokens every 10 second",gpt-5.4-20260305-blind,2026-04-13 10:43:25,test_coupling,contamination,0.95,True,False
