instance_id,severity,task_labels,primary_label,label_count,patch_hunks_total,patch_unrelated,has_excess_patch,tests_total,tests_unrelated,has_excess_test,has_modified_tests,vague_spec_score,legitimacy,suggested_fix,mentioned_entities,recommendations
instance_internetarchive__openlibrary-dbbd9d539c6d4fd45d5be9662aa19b6d664b5137-v08d8e8889ec945ab821fb156c04c7d2e2810debb,SEVERE,approach_lock;underspec,underspec,2,4,0,False,1,0,False,False,0.2000,bug,Ensure the server does not blindly merge query parameters and POST form data for /lists/add; instead process form body data independently and let submitted form values take precedence over URL query p,,No contamination signals detected.
instance_ansible__ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a-v7eee2454f617569fd6889f2211f75bc02a35f9f8,SEVERE,approach_lock;underspec,approach_lock,2,36,2,True,10,1,True,True,0.3000,enhancement,"Create one public, explicit, namespaced representation for `PlayIterator` run and failure states; use that representation consistently in core code; preserve old state-name access on `PlayIterator` fr",__str__;PlayIterator;HostState,"EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; EXCESS_TEST: 1 UNRELATED tests beyond problem scope.; CROSS_REF: 6 circular dependency(ies) — tests [test_failed_states_deprecation_class_attr, test_failed_states_deprecation_instance_attr, test_iterating_states_deprecation_class_attr, test_iterating_states_deprecation_instance_attr, test_play_iterator, test_play_iterator_nested_blocks] require UNRELATED patch hunks to pass."
instance_gravitational__teleport-c782838c3a174fdff80cafd8cd3b1aa4dae8beb2,SEVERE,approach_lock;excess_patch,excess_patch,2,21,2,True,1,0,False,False,0.3000,bug,"Adjust the caching policy so old remotes are not watched as if they expose the split RFD-28 resources, and make the access point normalize legacy `ClusterConfig` data into the split resources for cons",ClusterConfig,EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 1 circular dependency(ies) — tests [TestState] require UNRELATED patch hunks to pass.
instance_qutebrowser__qutebrowser-96b997802e942937e81d2b8a32d08f00d3f4bc4e-v5fc38aaf22415ab0b70567368332beee7955b367,CLEAN,clean,clean,1,2,0,False,17,0,False,False,0.3000,bug,,parse_duration,No contamination signals detected.
instance_element-hq__element-web-33e8edb3d508d6eefb354819ca693b7accc695e7,SEVERE,approach_lock;underspec,underspec,2,21,2,True,5,0,False,False,0.6000,bug,"Centralize shortcut handling so all components use the same matching rules, require exact key-plus-modifier matches, separate platform-specific behavior so macOS uses Command and Windows/Linux use Con",,"EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 5 circular dependency(ies) — tests [test/KeyBindingsManager-test.ts | KeyBindingsManager | should match basic key combo, test/KeyBindingsManager-test.ts | KeyBindingsManager | should match key + modifier key combo, test/KeyBindingsManager-test.ts | KeyBindingsManager | should match key + multiple modifiers key combo, test/KeyBindingsManager-test.ts | KeyBindingsManager | should match ctrlOrMeta key combo, test/KeyBindingsManager-test.ts | KeyBindingsManager | should match advanced ctrlOrMeta key combo] require UNRELATED patch hunks to pass.; VAGUE_SPEC: Problem statement has significant ambiguity."
instance_future-architect__vuls-407407d306e9431d6aa0ab566baa6e44e5ba2904,CLEAN,clean,clean,1,2,0,False,1,0,False,False,0.2000,bug,,Dockerfile;trivy.json;parse.json,No contamination signals detected.
instance_internetarchive__openlibrary-111347e9583372e8ef91c82e0612ea437ae3a9c9-v2d9a6c849c60ed19fd0858ce9e40b7cc8e097e59,SEVERE,approach_lock;excess_patch,excess_patch,2,27,7,True,2,0,False,True,0.4000,bug,Process `$6` linkages consistently in both MARC parsers so all associated alternate titles and names are returned and the output matches the updated JSON expectations.,,EXCESS_PATCH: 7 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 1 circular dependency(ies) — tests [test_binary] require UNRELATED patch hunks to pass.; VAGUE_SPEC: Problem statement has moderate ambiguity.
instance_future-architect__vuls-e6c0da61324a0c04026ffd1c031436ee2be9503a,SEVERE,excess_tests;sneaky_edit;approach_lock;underspec,excess_tests,4,6,0,False,7,1,True,True,0.3000,bug,"Parse Alpine package information to distinguish binary packages from their source packages, and update OVAL vulnerability detection to assess vulnerabilities against source packages when appropriate.",,EXCESS_TEST: 2 OFF_TOPIC assertions; 1 UNRELATED tests beyond problem scope.
instance_gravitational__teleport-6eaaf3a27e64f4ef4ef855bd35d7ec338cf17460-v626ec2a48416b10a88641359a169d99e935ff037,SEVERE,approach_lock;excess_tests;excess_patch,excess_patch,3,10,5,True,3,1,True,False,0.5500,feature_request,"Introduce a linear benchmark generator that starts at a defined lower bound of requests per second, increases by a fixed step size on each generation, and stops once the upper bound is exceeded.",,EXCESS_PATCH: 5 hunk(s) modify code unrelated to the problem description.; EXCESS_TEST: 4 OFF_TOPIC assertions; 1 UNRELATED tests beyond problem scope.; VAGUE_SPEC: Problem statement has significant ambiguity.
instance_qutebrowser__qutebrowser-fd6790fe8c02b144ab2464f1fc8ab3d02ce3c476-v2ef375ac784985212b1805e1d0431dc8f1b3c171,SEVERE,excess_tests;sneaky_edit;underspec;approach_lock,underspec,4,17,2,True,7,2,True,True,0.3000,bug,"Completely replace :buffer with :tab-select in all user-facing systems, specifically command completion, help documentation, and configuration examples.",:buffer;:tab-select,EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; EXCESS_TEST: 2 UNRELATED tests beyond problem scope.
instance_gravitational__teleport-e6d86299a855687b21970504fbf06f52a8f80c74-vce94f93ad1030e3136852817f2423c1b3ac37bc4,SEVERE,excess_tests;approach_lock,excess_tests,2,6,0,False,4,1,True,False,0.3000,bug,"When renewing a web session, refetch the updated user record from the backend and issue a new certificate containing the latest traits instead of using cached user data.",,EXCESS_TEST: 11 OFF_TOPIC assertions; 1 UNRELATED tests beyond problem scope.
instance_internetarchive__openlibrary-8a5a63af6e0be406aa6c8c9b6d5f28b2f1b6af5a-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,SEVERE,approach_lock;excess_tests;sneaky_edit;excess_patch;underspec,excess_patch,5,10,9,True,3,2,True,True,0.4000,feature_request,"Introduce a host-scoping check during scheduled job registration that reads the current hostname from the environment, compares it to an allowlist supporting exact names and simple prefix wildcards, r",,"EXCESS_PATCH: 9 hunk(s) modify code unrelated to the problem description.; EXCESS_TEST: 2 UNRELATED tests beyond problem scope.; CROSS_REF: 2 circular dependency(ies) — tests [test_bash_run, test_bash_run] require UNRELATED patch hunks to pass.; VAGUE_SPEC: Problem statement has moderate ambiguity."
instance_navidrome__navidrome-b65e76293a917ee2dfc5d4b373b1c62e054d0dca,SEVERE,excess_patch;approach_lock,excess_patch,2,28,2,True,2,0,False,False,0.1000,bug,,,"EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 2 circular dependency(ies) — tests [TestEvents, TestSubsonicApi] require UNRELATED patch hunks to pass."
instance_internetarchive__openlibrary-25858f9f0c165df25742acf8309ce909773f0cdd-v13642507b4fc1f8d234172bf8129942da2c2ca26,SEVERE,excess_tests;underspec;approach_lock,excess_tests,3,16,0,False,6,6,True,False,0.4000,enhancement,"Move all Solr utility functions, configuration loaders, and shared state such as `solr_base_url` and `solr_next` from the main update modules into a new `solr/utils.py` file, then update imports acros",openlibrary/solr/update_work.py;solr/utils.py;openlibrary/solr/utils.py;openlibrary/solr/update_edition.py;scripts/solr_builder/solr_builder/index_subjects.py,EXCESS_TEST: 6 OFF_TOPIC assertions; 6 UNRELATED tests beyond problem scope.; VAGUE_SPEC: Problem statement has moderate ambiguity.
instance_element-hq__element-web-5dfde12c1c1c0b6e48f17e3405468593e39d9492-vnan,MINOR,underspec,underspec,1,15,2,True,9,0,False,False,0.4000,bug,"Prune removed-device client metadata after successful device list refreshes, block starting/preparing voice broadcasts when the client is in a sync/connection error state and show a clear dialog, defi",,EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; VAGUE_SPEC: Problem statement has moderate ambiguity.
instance_protonmail__webclients-2c3559cad02d1090985dba7e8eb5a129144d9811,MINOR,underspec,underspec,1,10,0,False,9,0,False,False,0.4000,bug,"Resolve the Scribe addon through a single centralized resolver in all flows, return a uniform `planIDs` structure that always includes the base plan and adds the addon only when applicable, and replac",,VAGUE_SPEC: Problem statement has moderate ambiguity.
instance_NodeBB__NodeBB-397835a05a8e2897324e566b41c5e616e172b4af-v89631a1cdb318276acb48860c5d78077211397c6,CLEAN,clean,clean,1,4,0,False,1,0,False,False,0.3000,bug,,,No contamination signals detected.
instance_flipt-io__flipt-e42da21a07a5ae35835ec54f74004ebd58713874,SEVERE,approach_lock;excess_patch,excess_patch,2,47,32,True,4,0,False,True,0.3000,bug,,BatchEvaluate,EXCESS_PATCH: 32 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 1 circular dependency(ies) — tests [TestEvaluate_FlagDisabled] require UNRELATED patch hunks to pass.
instance_flipt-io__flipt-3b2c25ee8a3ac247c3fad13ad8d64ace34ec8ee7,SEVERE,excess_tests;sneaky_edit;approach_lock,excess_tests,3,7,0,False,8,5,True,True,0.3000,bug,"Treat an absent `context.flags` as a request to evaluate and return the applicable flags for the current namespace, using the provided context, instead of raising `INVALID_CONTEXT`.",,EXCESS_TEST: 2 OFF_TOPIC assertions; 5 UNRELATED tests beyond problem scope.
instance_NodeBB__NodeBB-a5afad27e52fd336163063ba40dcadc80233ae10-vd59a5728dfc977f44533186ace531248c2917516,SEVERE,approach_lock;underspec,underspec,2,20,0,False,1,0,False,False,0.3000,feature_request,Introduce explicit allow and deny lists plus a separate disable-incoming-chats setting; enforce them server-side with the stated precedence rules and `[[error:chat-restricted]]` on blocked attempts; a,,No contamination signals detected.
instance_gravitational__teleport-eefac60a350930e5f295f94a2d55b94c1988c04e-vee9b09fb20c43af7e520f57e9239bbcf46b7113d,SEVERE,approach_lock;unclear_spec;underspec,approach_lock,3,3,1,True,6,0,False,False,0.5000,feature_request,"Provide utility functions that read `/sys/class/dmi/id` and `/etc/os-release`, extract known fields, handle partial errors gracefully, and return the results in well-defined structures.",/sys/class/dmi/id;/etc/os-release,"EXCESS_PATCH: 1 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 4 circular dependency(ies) — tests [TestDMI/success, TestDMI/realistic, TestParseOSReleaseFromReader/Ubuntu_22.04, TestParseOSReleaseFromReader/invalid_lines_ignored] require UNRELATED patch hunks to pass.; VAGUE_SPEC: Problem statement has moderate ambiguity."
instance_NodeBB__NodeBB-f9ce92df988db7c1ae55d9ef96d247d27478bc70-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,SEVERE,excess_patch;approach_lock,excess_patch,2,6,4,True,1,0,False,False,0.2000,bug,"Validate that the specified target directory exists before attempting the upload, and immediately reject the request with a clear error if the directory does not exist.",,EXCESS_PATCH: 4 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 1 circular dependency(ies) — tests [test/uploads.js | Upload Controllers admin uploads should fail to upload regular file if directory does not exist] require UNRELATED patch hunks to pass.
instance_navidrome__navidrome-8e640bb8580affb7e0ea6225c0bbe240186b6b08,MINOR,underspec,underspec,1,14,2,True,1,0,False,False,0.3000,feature_request,Introduce a new `Albums.ToAlbumArtist()` method in the model layer to compute artist attributes directly from album data.,ToAlbumArtist;Artist;Albums,EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 1 circular dependency(ies) — tests [TestModel] require UNRELATED patch hunks to pass.
instance_future-architect__vuls-2c84be80b65d022c262956cd26fc79d8bb2f7010,CLEAN,clean,clean,1,3,0,False,4,0,False,False,0.3000,bug,,,No contamination signals detected.
instance_flipt-io__flipt-c12967bc73fdf02054cf3ef8498c05e25f0a18c0,CLEAN,clean,clean,1,8,0,False,1,0,False,False,0.1000,bug,,Evaluate;Flipt,No contamination signals detected.
instance_qutebrowser__qutebrowser-0fc6d1109d041c69a68a896db87cf1b8c194cef7-v2ef375ac784985212b1805e1d0431dc8f1b3c171,MINOR,underspec,underspec,1,8,1,True,4,0,False,False,0.4000,feature_request,"Add a new Filesystem completion category to `:open`; populate it from `completion.favorite_paths` when no argument is given, suggest matching files/directories when the input looks like a filesystem p",,EXCESS_PATCH: 1 hunk(s) modify code unrelated to the problem description.; VAGUE_SPEC: Problem statement has moderate ambiguity.
instance_ansible__ansible-b748edea457a4576847a10275678127895d2f02f-v1055803c3a812189a1133297f7f5468579283f86,SEVERE,approach_lock;underspec,underspec,2,15,2,True,5,0,False,False,0.5600,feature_request,"Provide a standardized utility or structured abstraction for multipart payload construction, add native multipart/form-data support to HTTP modules, apply consistent file metadata and MIME-type handli",,EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; VAGUE_SPEC: Problem statement has significant ambiguity.
instance_gravitational__teleport-0ac7334939981cf85b9591ac295c3816954e287e,MINOR,underspec,underspec,1,13,0,False,1,0,True,False,0.3000,bug,"Have the proxy collect all matching database services, randomize their order, and attempt them one by one on connection problems until one succeeds or all fail; deduplicate same-name database services",,EXCESS_TEST: 4 OFF_TOPIC assertions beyond problem scope.
instance_gravitational__teleport-b5d8169fc0a5e43fee2616c905c6d32164654dc6,SEVERE,approach_lock;excess_tests;sneaky_edit;excess_patch,approach_lock,4,10,2,True,10,0,True,True,0.3000,bug,Make the migration preserve the admin role or otherwise maintain compatible role mappings so trusted cluster access to leaf clusters continues to work during partial upgrades.,,"EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; EXCESS_TEST: 5 OFF_TOPIC assertions beyond problem scope.; CROSS_REF: 3 circular dependency(ies) — tests [TestMigrateOSS/EmptyCluster, TestMigrateOSS/User, TestMigrateOSS/TrustedCluster] require UNRELATED patch hunks to pass."
instance_future-architect__vuls-86b60e1478e44d28b1aff6b9ac7e95ceb05bc5fc,MODERATE,excess_tests;underspec,underspec,2,13,2,True,1,1,True,False,0.3000,enhancement,"Make `host` accept and expand IPv4/IPv6 CIDRs, apply an `ignore` field to remove specific IPs or CIDR subranges, treat non-IP `host` strings as single literals, raise clear errors for invalid `ignore`",,EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; EXCESS_TEST: 1 UNRELATED tests beyond problem scope.; CROSS_REF: 1 circular dependency(ies) — tests [TestHosts] require UNRELATED patch hunks to pass.
instance_qutebrowser__qutebrowser-70248f256f93ed9b1984494d0a1a919ddd774892-v2ef375ac784985212b1805e1d0431dc8f1b3c171,SEVERE,approach_lock;excess_tests,excess_tests,2,2,0,False,28,11,True,False,0.3000,feature_request,"Add parsing for explicit unit suffixes in `:later` duration arguments, following examples like `5s`, `2m30s`, and `1h` similar to `sleep`, while keeping bare integers as millisecond delays.",:later;sleep,EXCESS_TEST: 11 UNRELATED tests beyond problem scope.
instance_protonmail__webclients-6dcf0d0b0f7965ad94be3f84971afeb437f25b02,MINOR,excess_patch,excess_patch,1,11,3,True,3,0,False,False,0.2000,bug,,PassAliases,"EXCESS_PATCH: 3 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 3 circular dependency(ies) — tests [components/drawer/views/SecurityCenter/PassAliases/PassAliases.test.tsx | PassAliases renders the aliases list when there are aliases, components/drawer/views/SecurityCenter/PassAliases/PassAliases.test.tsx | PassAliases renders the ""No aliases"" message when there are no aliases, components/drawer/views/SecurityCenter/PassAliases/PassAliases.test.tsx | PassAliases opens the create alias modal when the ""Get an alias"" button is clicked] require UNRELATED patch hunks to pass."
instance_ansible__ansible-e40889e7112ae00a21a2c74312b330e67a766cc0-v1055803c3a812189a1133297f7f5468579283f86,SEVERE,approach_lock;excess_tests;sneaky_edit;underspec;excess_patch,excess_tests,5,37,17,True,19,18,True,True,0.4000,feature_request,"Extend collection requirements parsing/handling to support git repositories similarly to roles, including git treeish selection, optional repository subdirectory support, explicit `type: git` (alongsi",requirements.yml;galaxy.yml,"EXCESS_PATCH: 17 hunk(s) modify code unrelated to the problem description.; EXCESS_TEST: 14 OFF_TOPIC assertions; 18 UNRELATED tests beyond problem scope.; CROSS_REF: 19 circular dependency(ies) — tests [test_install_missing_metadata_warning, test_install_collection_with_circular_dependency, test_install_collections_from_tar, test_install_collections_existing_without_force, test_require_one_of_collections_requirements_with_collections, test_execute_verify_with_defaults, test_execute_verify, test_collection_install_with_names, test_collection_install_in_collection_dir, test_parse_requirements_with_extra_info, test_collection_install_with_url, test_collection_install_path_with_ansible_collections, test_parse_requirements_with_roles_and_collections, test_collection_install_with_requirements_file, test_parse_requirements_with_collection_source, test_parse_requirements_with_collection_source, test_install_implicit_role_with_collections, test_install_collection_with_roles, test_parse_requirements] require UNRELATED patch hunks to pass.; VAGUE_SPEC: Problem statement has moderate ambiguity."
instance_navidrome__navidrome-27875ba2dd1673ddf8affca526b0664c12c3b98b,MINOR,underspec,underspec,1,5,0,False,1,0,False,False,0.3000,enhancement,"Create and use a `mime_types.yaml` configuration resource containing MIME types and lossless formats, and load it during application initialization.",mime_types.yaml,No contamination signals detected.
instance_internetarchive__openlibrary-11838fad1028672eb975c79d8984f03348500173-v0f5aece3601a5b4419f7ccec1dbda2071be28ee4,CLEAN,clean,clean,1,6,0,False,54,0,False,True,0.3500,bug,"Use a single authors array for people, organizations, and events with role when available; consistently link field 880 data via subfield 6 so one script form is retained under name and the other under",,VAGUE_SPEC: Problem statement has moderate ambiguity.
instance_ansible__ansible-5e369604e1930b1a2e071fecd7ec5276ebd12cb1-v0f01c69f1e2528b935359cfe578530722bca2c59,SEVERE,approach_lock;excess_tests;underspec,approach_lock,3,17,1,True,5,1,True,False,0.3500,bug,Avoid direct `stdout`/`stderr` writes from forked workers and eliminate reliance on the late redirection to `/dev/null` in `lib/ansible/executor/process/worker.py` for safe shutdown.,lib/ansible/executor/process/worker.py;Display.display;Display,"EXCESS_PATCH: 1 hunk(s) modify code unrelated to the problem description.; EXCESS_TEST: 3 OFF_TOPIC assertions; 1 UNRELATED tests beyond problem scope.; CROSS_REF: 5 circular dependency(ies) — tests [test_Display_set_queue_parent, test_Display_set_queue_fork, test_Display_display_fork, test_Display_display_lock, test_Display_display_lock_fork] require UNRELATED patch hunks to pass.; VAGUE_SPEC: Problem statement has moderate ambiguity."
instance_element-hq__element-web-72a8f8f03b1a01bb70ef8a5bb61759416991b32c-vnan,SEVERE,approach_lock;excess_patch,excess_patch,2,6,2,True,2,0,False,False,0.4000,feature_request,,UIStore,"EXCESS_PATCH: 2 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 2 circular dependency(ies) — tests [test/hooks/useWindowWidth-test.ts | useWindowWidth | should return the current width of window, according to UIStore, test/hooks/useWindowWidth-test.ts | useWindowWidth | should update the value when UIStore's value changes] require UNRELATED patch hunks to pass.; VAGUE_SPEC: Problem statement has moderate ambiguity."
instance_internetarchive__openlibrary-b4f7c185ae5f1824ac7f3a18e8adf6a4b468459c-v08d8e8889ec945ab821fb156c04c7d2e2810debb,SEVERE,approach_lock;excess_patch,excess_patch,2,9,1,True,3,0,False,False,0.2000,bug,Change the `update_key` methods of `AuthorSolrUpdater` and `WorkSolrUpdater` so they consistently return a tuple containing the `SolrUpdateRequest` first and the list of new keys second.,update_key;SolrUpdateRequest;AuthorSolrUpdater;WorkSolrUpdater,"EXCESS_PATCH: 1 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 3 circular dependency(ies) — tests [test_workless_author, test_no_title, test_work_no_title] require UNRELATED patch hunks to pass."
instance_gravitational__teleport-3ff75e29fb2153a2637fe7f83e49dc04b1c99c9f,MINOR,underspec,underspec,1,1,0,False,1,0,True,False,0.2000,bug,"Block deletion of a user's last MFA device whenever the security policy requires MFA, and return a clear error message explaining why the deletion is not allowed.",,EXCESS_TEST: 4 OFF_TOPIC assertions beyond problem scope.
instance_flipt-io__flipt-f808b4dd6e36b9dc8b011eb26b196f4e2cc64c41,SEVERE,approach_lock;excess_tests;sneaky_edit,sneaky_edit,3,23,4,True,14,3,True,True,0.3000,feature_request,"Allow configuration to be specified either as a full database URL or as separate `protocol`, `host`, `port`, `user`, `password`, and `database name` fields; if both are present, prefer the URL, otherw",config.yaml,"EXCESS_PATCH: 4 hunk(s) modify code unrelated to the problem description.; EXCESS_TEST: 3 UNRELATED tests beyond problem scope.; CROSS_REF: 14 circular dependency(ies) — tests [TestLoad, TestValidate, TestValidate, TestValidate, TestValidate, TestValidate, TestValidate, TestValidate, TestOpen, TestOpen, TestOpen, TestParse, TestMigratorRun, TestMigratorRun_NoChange] require UNRELATED patch hunks to pass."
instance_future-architect__vuls-5af1a227339e46c7abf3f2815e4c636a0c01098e,SEVERE,excess_tests;sneaky_edit;approach_lock,excess_tests,3,4,0,False,12,1,True,True,0.3000,bug,"Expand the set of kernel-related packages checked when determining the running kernel package so that debug variants such as `kernel-debug`, `kernel-debug-modules`, and `kernel-debug-modules-extra` ar",,EXCESS_TEST: 1 UNRELATED tests beyond problem scope.
instance_element-hq__element-web-5e8488c2838ff4268f39db4a8cca7d74eecf5a7e-vnan,MINOR,unclear_spec,unclear_spec,1,4,0,False,29,0,False,False,0.2000,bug,"Ensure the client distinguishes sessions that existed at startup from sessions added later, and base the unverified session toast on that distinction.",,No contamination signals detected.
instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86,CLEAN,clean,clean,1,5,1,True,1,0,False,False,0.2000,enhancement,"Add `match_set` and `match_set_flags` parameters to the `iptables` module and have them render as `-m set --match-set <setname> <flags>`, with tests covering the generated rule.",,EXCESS_PATCH: 1 hunk(s) modify code unrelated to the problem description.
instance_protonmail__webclients-08bb09914d0d37b0cd6376d4cab5b77728a43e7b,MINOR,underspec,underspec,1,8,1,True,12,0,False,False,0.4000,feature_request,"Create a new TOTP Input component made of individual single-character fields, configurable by length, with auto-focus movement, Backspace behavior across fields, paste distribution, validation for num",TOTP Input component,"EXCESS_PATCH: 1 hunk(s) modify code unrelated to the problem description.; CROSS_REF: 12 circular dependency(ies) — tests [components/v2/input/TotpInput.test.tsx | should display 6 inputs with a totp code, components/v2/input/TotpInput.test.tsx | should display 4 inputs with a partial totp code with invalid values, components/v2/input/TotpInput.test.tsx | should display 4 inputs with a partial totp code, components/v2/input/TotpInput.test.tsx | should display 3 inputs with partial alphabet value, components/v2/input/TotpInput.test.tsx | should not move focus when entering an invalid value, components/v2/input/TotpInput.test.tsx | should move focus to the next input when entering a value in the 1st input, components/v2/input/TotpInput.test.tsx | should move focus to the next input when entering a value in the 2nd input, components/v2/input/TotpInput.test.tsx | should move focus to the previous input when removing a value, components/v2/input/TotpInput.test.tsx | should remove the previous value when hitting backspace on left-most selection, components/v2/input/TotpInput.test.tsx | should go to the next input when entering the same value, components/v2/input/TotpInput.test.tsx | should move focus when pasting, components/v2/input/TotpInput.test.tsx | should accept all values when pasting or changing multiple values] require UNRELATED patch hunks to pass.; VAGUE_SPEC: Problem statement has moderate ambiguity."
