instance_id,severity,triage_priority,combined_score,primary_label,all_labels,label_count,plain_english,core_requirement,ep_score,et_score,vs_score,patch_hunks,test_breakdown,has_modified_tests,ambiguity_score,evidence_summary
sympy__sympy-22080,SEVERE,1,0.952,mistest_customtest,"mistest_sneaky_modification, mistest_overtest, mistest_customtest, desc_misleading",4,[mistest_sneaky_modification] A pre-existing test was quietly modified to check new behavior not mentioned in the problem. | [mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [desc_misleading] The problem description actively points toward a wrong approach or incorrect root cause.,"Fix `lambdify(..., modules=[])` so that expressions of the form `expr * Mod(a, b)` are not rewritten into `Mod(expr*a, b)` in a way that changes the numerical result.",0.1667,0.7619,0.5,2R/1A/0U,2A/0T/1U,True,0.5,"[mistest_sneaky_modification] F2P TEST ANALYSIS: “Has modified tests: True” || [mistest_overtest] UNRELATED test: test_create_expand_pow_optimization || [mistest_customtest] String-exact formatting requirements: assert prntr.doprint(-Mod(x, y)) == '-(x % y)' and assert prntr.doprint(Mod(-x, y)) == '(-x) % y'"
mwaskom__seaborn-3187,SEVERE,1,0.9517,mispatch_approach_mismatch,"mistest_customtest, mistest_undertest, desc_incomplete, mispatch_approach_mismatch, scope_expansion",5,"[mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [mistest_undertest] Tests don't fully cover the problem. A partial or wrong fix could still pass. | [desc_incomplete] The problem is missing key information -- no repro steps, no affected file, or ambiguous requirements. | [mispatch_approach_mismatch] The gold patch uses a completely different strategy than what the problem suggests. An agent following the problem description would fail. | [scope_expansion] The fix changes a parent class or broader API than the problem describes -- wider blast radius.","Fix seaborn legends for large numeric ranges so that when Matplotlib’s ScalarFormatter applies an offset/scientific scaling, the legend values include that offset/scaling rather than showing unscaled numbers.",1.0,0.3,0.5,0R/0A/2U,0A/2T/0U,False,0.5,"[mistest_customtest] F2P test `test_legend_has_no_offset` asserts `float(text.get_text()) > 1e7` || [mistest_undertest] Both tests only check `legend.texts` exists and that `float(text.get_text()) > 1e7` || [desc_incomplete] Problem statement: ""The offset value can be safely retrieved ... used to create the legend title and/or labels"" (does not specify which is required)"
matplotlib__matplotlib-25479,SEVERE,1,0.9465,mistest_customtest,"mistest_overtest, mistest_customtest, mistest_sneaky_modification, mispatch_ancillary_bundling",4,"[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [mistest_sneaky_modification] A pre-existing test was quietly modified to check new behavior not mentioned in the problem. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix.",Fix colormap registration/name handling so that a colormap registered under an explicit name can be selected and used via that registered name even if the colormap object's internal `.name` differs.,0.25,1.0,0.5,1R/1A/0U,0A/1T/1U,True,0.5,"[mistest_overtest] F2P: Test 'test_colormap_equals' is marked UNRELATED yet included in evaluation; assertion: ""assert cm_copy == cmap"" || [mistest_customtest] F2P: 'test_set_cmap_mismatched_name' includes ""assert cmap_returned.name == 'wrong-cmap'"" (OFF_TOPIC) || [mistest_sneaky_modification] F2P indicates modified tests: Test 'test_colormap_equals' (modified=True) and classified as UNRELATED / mod_aligned=False"
sympy__sympy-17318,SEVERE,1,0.9413,mistest_customtest,"mistest_overtest, mistest_customtest, desc_misleading, mispatch_ancillary_bundling",4,"[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [desc_misleading] The problem description actively points toward a wrong approach or incorrect root cause. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix.",Fix `sqrtdenest` so it does not raise `IndexError` on certain inputs and instead returns the original expression when it cannot denest nested square roots.,0.6667,0.9667,0.3,1R/0A/2U,0A/1T/0U,False,0.3,"[mistest_overtest] F2P test `test_issue_12420`: assertion `assert sqrtdenest((3 - sqrt(2) * sqrt(4 + 3 * I) + 3 * I) / 2) == I` || [mistest_customtest] F2P test `test_issue_12420`: assertion `assert _sqrt_match(4 + I) == []` || [desc_misleading] Problem statement’s ""New Result"" shows `sqrtdenest((3 - sqrt(2)*sqrt(4 + 3*I) + 3*I)/2)` returning `3/2 - sqrt(2)*sqrt(4 + 3*I)/2 + 3*I/2` (unchanged)."
scikit-learn__scikit-learn-25102,SEVERE,1,0.9394,mispatch_approach_mismatch,"mistest_overtest, mistest_customtest, mispatch_ancillary_bundling, scope_expansion, mispatch_approach_mismatch",5,"[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix. | [scope_expansion] The fix changes a parent class or broader API than the problem describes -- wider blast radius. | [mispatch_approach_mismatch] The gold patch uses a completely different strategy than what the problem suggests. An agent following the problem description would fail.","Add an optional mechanism for pandas `set_output(transform='pandas')` to preserve the input DataFrame column dtypes for transformers that do not modify the underlying values (e.g., feature selectors).",0.2143,0.9,0.6,4R/3A/0U,0A/2T/0U,False,0.6,"[mistest_overtest] Test 'test_output_dataframe' includes non-dtype assertions: `assert output0.shape == (X.shape[0], 0)` and `assert_array_equal(output0.index, X.index)`. || [mistest_customtest] Test 'test_dataframe_output_dtypes' hard-codes an exact column sequence: `['petal length (cm)', 'petal width (cm)', 'petal_width_binned']`. || [mispatch_ancillary_bundling] Gold patch adds a new internal `_validate_data` argument `cast_to_ndarray=True` and updates its docstring (sklearn/base.py hunks labeled ANCILLARY)."
pydata__xarray-6992,SEVERE,1,0.9337,mistest_sneaky_modification,"mistest_overtest, mistest_sneaky_modification, mispatch_ancillary_bundling, scope_expansion",4,"[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_sneaky_modification] A pre-existing test was quietly modified to check new behavior not mentioned in the problem. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix. | [scope_expansion] The fix changes a parent class or broader API than the problem describes -- wider blast radius.","Fix `xr.core.dataset.DataVariables` so it no longer assumes `ds._coord_names` is a subset of `ds._variables`, because after the index refactor `_coord_names` can contain names not present in `_variables`, causing failures (e.g., in `repr`).",0.6875,1.0,0.35,0R/5A/3U,9A/0T/5U,True,0.35,"[mistest_overtest] F2P TEST ANALYSIS reports 10/10 assertions as OFF_TOPIC relative to the stated goal (fix DataVariables’ assumption about _coord_names vs _variables). || [mistest_sneaky_modification] F2P TEST ANALYSIS: `Has modified tests: True` and flags `test_reset_index` as `modified=True` with `mod_aligned=False`. || [mispatch_ancillary_bundling] GOLD PATCH ANALYSIS: 5/8 hunks are marked ANCILLARY (Hunks 0-3 and 6 in `xarray/core/dataset.py`), indicating multiple changes beyond the core DataVariables robustness fix."
scikit-learn__scikit-learn-25747,SEVERE,1,0.9255,mistest_customtest,"mistest_overtest, mistest_customtest, mispatch_ancillary_bundling, desc_incomplete",4,"[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix. | [desc_incomplete] The problem is missing key information -- no repro steps, no affected file, or ambiguous requirements.","Fix FeatureUnion (via set_output/transform_output=""pandas"") so it can handle a transformer whose transform returns an aggregated pandas Series/DataFrame with a different index length than the input, without raising an index length mismatch error.",0.25,1.0,0.5,1R/1A/0U,0A/0T/1U,False,0.5,"[mistest_overtest] F2P TEST ANALYSIS: Test 'test_set_output_pandas_keep_index' classified as UNRELATED; its single assertion is OFF_TOPIC. || [mistest_customtest] The only assertion requires an exact index: `X_trans.index == ['s0', 's1']`. || [mispatch_ancillary_bundling] GOLD PATCH ANALYSIS: Hunk 0 is marked ANCILLARY (docstring update for `_wrap_in_pandas_container` about `index` being ignored when `data_to_wrap` is already a DataFrame)."
sympy__sympy-14248,SEVERE,1,0.9248,mistest_customtest,"mistest_overtest, mistest_sneaky_modification, mistest_customtest",3,[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_sneaky_modification] A pre-existing test was quietly modified to check new behavior not mentioned in the problem. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail.,Fix printing of MatrixSymbol (matrix expression) subtractions so that expressions internally represented as addition with (-1) coefficients display using subtraction (a - b) instead of explicit (-1)*b terms.,0.0,1.0,0.3,4R/0A/0U,2A/2T/8U,True,0.3,"[mistest_overtest] Problem statement scope: only mentions `str`, `pretty`/`pprint`, and `latex` printing for matrix expressions (MatrixSymbols/MatAdd). || [mistest_sneaky_modification] F2P analysis indicates modified pre-existing tests: `Test 'test_MatrixElement_printing': UNRELATED (modified=True, mod_aligned=False)` with multiple new/changed assertions. || [mistest_customtest] Highly specific expected ordering/format: `assert str(A - A * B - B) == '-B - A*B + A'` and `assert latex(A - A * B - B) == '-B - A B + A'`."
sympy__sympy-13877,SEVERE,1,0.9224,mistest_customtest,"mistest_overtest, mistest_customtest, mispatch_ancillary_bundling, mispatch_overpatch",4,"[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix. | [mispatch_overpatch] The gold patch includes functional changes beyond what the problem asks for.",Fix SymPy's matrix determinant computation so that for certain symbolic matrices it does not return `nan` or raise `TypeError: Invalid NaN comparison` during the Bareiss-based determinant evaluation.,0.5,1.0,0.5,2R/2A/2U,0A/1T/0U,False,0.5,"[mistest_overtest] Problem statement/intent: requires that det(...) for n=5 not be nan and for n=6 not raise TypeError; it explicitly does not require an exact closed-form value (""yielding a valid SymPy expression resul || [mistest_customtest] Assertions hard-code a fully simplified exact result (`== 0`) for n=5,6,7 rather than checking e.g. `not det.has(nan)` / no exception / `simplify(det) == 0`. || [mispatch_ancillary_bundling] Gold patch includes purely ancillary hunks: adding an import (`expand_mul`) and adding a helper `_is_zero_after_expand_mul` (both marked ANCILLARY in the patch analysis)."
sphinx-doc__sphinx-9461,SEVERE,1,0.9179,mistest_customtest,"mistest_customtest, mistest_overtest, mispatch_ancillary_bundling, scope_expansion, mistest_sneaky_modification",5,"[mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail. | [mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mispatch_ancillary_bundling] The gold patch bundles cleanup (whitespace, imports, docstrings) alongside the actual fix. | [scope_expansion] The fix changes a parent class or broader API than the problem describes -- wider blast radius. | [mistest_sneaky_modification] A pre-existing test was quietly modified to check new behavior not mentioned in the problem.",Fix Sphinx autodoc/autosummary so that attributes implemented as a `@classmethod` wrapping a `@property` (Python 3.9+ “class properties”) are included in generated documentation with their docstrings.,0.2143,0.26,0.4,4R/3A/0U,3A/1T/1U,True,0.4,"[mistest_customtest] F2P assertion in modified `test_pyproperty` requires a specific rendered signature annotation: `assert_node(... ([desc_annotation, ""class property ""], ...))` || [mistest_overtest] Problem statement: ""Methods decorated with @classmethod and @property do not get documented"" and expects they ""should be documented appropriately""; it does not specify adding a new directive option or || [mispatch_ancillary_bundling] Gold patch includes changes to `sphinx/domains/python.py` labeled ANCILLARY in analysis (e.g., adding a `classmethod` flag to `PyProperty.option_spec` and adjusting signature prefix formatting for abs"
sphinx-doc__sphinx-10323,SEVERE,1,0.9163,mispatch_approach_mismatch,"desc_hidden_in_hints, desc_misleading, mispatch_approach_mismatch, mistest_undertest",4,"[desc_hidden_in_hints] Critical solution info (function names, root cause) appears only in the hints text, not the main problem. | [desc_misleading] The problem description actively points toward a wrong approach or incorrect root cause. | [mispatch_approach_mismatch] The gold patch uses a completely different strategy than what the problem suggests. An agent following the problem description would fail. | [mistest_undertest] Tests don't fully cover the problem. A partial or wrong fix could still pass.",Fix `literalinclude` so that text provided via the `:prepend:` (and similarly `:append:`) option can include and preserve leading whitespace/indentation in the rendered output.,0.0,0.3,0.5,1R/0A/0U,0A/1T/0U,False,0.5,"[desc_hidden_in_hints] HINTS TEXT: ""Docutils; the reST parser library ignores the leading whitespaces of directive options."" || [desc_misleading] PROBLEM STATEMENT ""Expected behavior"" shows preserving user-authored leading whitespace from the "":prepend:"" option to produce ""      <plugin>"". || [mispatch_approach_mismatch] GOLD PATCH ANALYSIS: ""reorders the filter pipeline so dedent_filter runs"" and ""dedent apply to the included file content without stripping/altering intended indentation in :prepend:/:append:""."
sphinx-doc__sphinx-7985,SEVERE,1,0.9081,mistest_customtest,"mistest_sneaky_modification, mistest_overtest, mistest_customtest",3,[mistest_sneaky_modification] A pre-existing test was quietly modified to check new behavior not mentioned in the problem. | [mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_customtest] Tests are so specific to the gold patch's approach that other equally valid solutions would fail.,Extend the Sphinx linkcheck builder so it also validates local/internal links (non-HTTP targets) and reports them as broken when they cannot be resolved.,0.0,1.0,0.5,2R/0A/0U,1A/0T/1U,True,0.5,"[mistest_sneaky_modification] F2P TEST ANALYSIS: ""Has modified tests: True"" || [mistest_overtest] F2P TEST ANALYSIS: Tests: 2 (ALIGNED=1, UNRELATED=1) || [mistest_customtest] F2P TEST ANALYSIS (test_defaults): [OFF_TOPIC] assert len(content.splitlines()) == 6"
sympy__sympy-20438,SEVERE,1,0.9059,mistest_sneaky_modification,"mistest_overtest, mistest_sneaky_modification, mispatch_overpatch",3,[mistest_overtest] Tests check things BEYOND what the problem asked for. An agent solving only the stated problem would fail extra tests. | [mistest_sneaky_modification] A pre-existing test was quietly modified to check new behavior not mentioned in the problem. | [mispatch_overpatch] The gold patch includes functional changes beyond what the problem asks for.,Fix incorrect/unknown results from `is_subset` when comparing a `ProductSet` against an equivalent `FiniteSet` of tuples (and avoid the related `Eq(...).simplify()` crash shown in the reproducer).,0.25,1.0,0.5,4R/1A/1U,0A/1T/1U,True,0.5,"[mistest_overtest] F2P test suite has 6 assertions, with 4 marked OFF_TOPIC. || [mistest_sneaky_modification] F2P metadata: `Has modified tests: True`. || [mispatch_overpatch] Gold patch includes an UNRELATED hunk in `sympy/sets/handlers/comparison.py`: it removes a special-case handler that forces `_eval_is_eq(FiniteSet, Interval)` to return `False`."
