instance_id,severity,combined_score,excess_patch_score,excess_test_score,vague_spec_score,task_labels,primary_label,label_count,patch_hunks_total,patch_required,patch_ancillary,patch_unrelated,tests_total,tests_aligned,tests_tangential,tests_unrelated,assertions_total,assertions_on_topic,assertions_off_topic,recommendations
django__django-11551,CLEAN,0.0000,0.0000,0.0000,0.3500,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.35).
django__django-11555,CLEAN,0.0000,0.0000,0.0000,0.4500,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.45).
django__django-11603,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,2,2,0,0,2,2,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11728,MODERATE,0.4810,0.5000,0.0000,0.3000,mispatch_overpatch;mispatch_ancillary_bundling,mispatch_overpatch,2,6,2,2,2,2,2,0,0,1,0,0,EXCESS_PATCH: 2/6 hunk(s) modify code unrelated to the problem description. Agents should not be required to reproduce these changes.
django__django-11734,MODERATE,0.5651,0.1667,0.0000,0.3000,mispatch_ancillary_bundling;desc_hidden_in_hints;desc_misleading,desc_misleading,3,3,2,1,0,1,1,0,0,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness."
django__django-11740,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,3,3,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-11749,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11790,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11815,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11820,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11848,CLEAN,0.0000,0.0000,0.0000,0.3500,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.35).
django__django-11880,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11885,MODERATE,0.4908,0.4500,0.0000,0.4000,mispatch_ancillary_bundling;scope_expansion,scope_expansion,2,10,1,9,0,1,1,0,0,1,0,0,"EXCESS_PATCH: 9 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40)."
django__django-11951,CLEAN,0.0000,0.0000,0.0000,0.2000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-11964,SEVERE,0.9764,1.0000,0.0000,0.3000,mispatch_approach_mismatch;mispatch_overpatch;mistest_overtest;desc_misleading,mispatch_approach_mismatch,4,1,0,0,1,2,2,0,0,1,0,0,EXCESS_PATCH: 1/1 hunk(s) modify code unrelated to the problem description. Agents should not be required to reproduce these changes.
django__django-11999,MODERATE,0.4200,0.0000,0.0000,0.2000,desc_misleading,desc_misleading,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-12039,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,2,2,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-12050,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-12125,CLEAN,0.0000,0.0000,0.0000,0.2000,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-12143,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-12155,SEVERE,0.7882,0.2500,0.0000,0.3000,mispatch_ancillary_bundling;mispatch_approach_mismatch;mistest_undertest;desc_hidden_in_hints,mispatch_approach_mismatch,4,4,2,2,0,1,1,0,0,1,0,0,"EXCESS_PATCH: 2 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness."
django__django-12193,MINOR,0.3600,0.0000,0.0000,0.3000,desc_hidden_in_hints,desc_hidden_in_hints,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-12209,MINOR,0.3030,0.0000,0.0000,0.3500,mistest_undertest;mispatch_underpatch,mistest_undertest,2,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.35).
django__django-12262,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,4,4,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-12273,MODERATE,0.4680,0.0000,0.0000,0.4000,desc_incomplete;desc_hidden_in_hints,desc_hidden_in_hints,2,1,1,0,0,2,2,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-12276,CLEAN,0.0000,0.2500,0.0000,0.3000,clean,clean,1,2,1,1,0,2,2,0,0,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness."
django__django-12304,CLEAN,0.0000,0.0000,0.0000,0.3500,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.35).
django__django-12308,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-12325,MINOR,0.2340,0.1667,0.0000,0.3500,mispatch_ancillary_bundling,mispatch_ancillary_bundling,1,3,2,1,0,2,2,0,0,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.35)."
django__django-12406,CLEAN,0.0000,0.1667,0.0000,0.4500,clean,clean,1,3,2,1,0,3,3,0,0,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.45)."
django__django-12419,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-12663,MINOR,0.3400,0.0000,0.0000,0.4000,desc_hidden_in_hints,desc_hidden_in_hints,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-12708,CLEAN,0.1240,0.0000,0.0000,0.5000,mistest_undertest,mistest_undertest,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.50).
django__django-12713,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-12741,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,2,2,0,0,2,2,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-12754,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-12774,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-12858,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-12965,CLEAN,0.0000,0.0000,0.0000,0.5000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.50).
django__django-13012,SEVERE,0.7134,0.0000,0.0000,0.3000,desc_hidden_in_hints;mistest_undertest;mistest_customtest,mistest_customtest,3,1,1,0,0,2,2,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-13023,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-13028,MODERATE,0.4096,0.0000,0.0000,0.4000,desc_hidden_in_hints;desc_incomplete,desc_hidden_in_hints,2,1,1,0,0,2,2,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-13033,MINOR,0.3600,0.0000,0.0000,0.3000,desc_hidden_in_hints,desc_hidden_in_hints,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-13089,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-13109,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-13112,CLEAN,0.0000,0.0000,0.0000,0.4500,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.45).
django__django-13121,MODERATE,0.4454,0.1667,0.0000,0.4000,mispatch_ancillary_bundling;scope_expansion,scope_expansion,2,9,6,3,0,1,1,0,0,1,0,0,"EXCESS_PATCH: 3 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40)."
django__django-13128,MINOR,0.3632,0.3333,0.0000,0.5000,mispatch_ancillary_bundling;desc_incomplete,mispatch_ancillary_bundling,2,3,1,2,0,7,7,0,0,1,0,0,"EXCESS_PATCH: 2 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.50)."
django__django-13158,MODERATE,0.4400,0.0000,0.0000,0.4000,desc_hidden_in_hints;desc_incomplete,desc_hidden_in_hints,2,2,2,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-13195,SEVERE,0.7722,0.1667,0.0000,0.5000,mistest_overtest;scope_expansion;desc_hidden_in_hints,mistest_overtest,3,3,2,1,0,5,5,0,0,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.50)."
django__django-13212,SEVERE,0.8204,0.0000,0.0000,0.4000,desc_incomplete;mistest_overtest;scope_expansion;mispatch_overpatch,mistest_overtest,4,13,13,0,0,5,5,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-13279,CLEAN,0.0000,0.0000,0.0000,0.5000,clean,clean,1,2,2,0,0,9,9,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.50).
django__django-13297,CLEAN,0.1100,0.1667,0.0000,0.4000,mistest_undertest,mistest_undertest,1,3,2,1,0,1,1,0,0,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness.; VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40)."
django__django-13315,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-13343,CLEAN,0.0000,0.0000,0.0000,0.2000,clean,clean,1,2,2,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-13344,MINOR,0.3500,0.1429,0.0000,0.3000,mispatch_overpatch,mispatch_overpatch,1,7,6,0,1,2,2,0,0,1,0,0,EXCESS_PATCH: 1/7 hunk(s) modify code unrelated to the problem description. Agents should not be required to reproduce these changes.
django__django-13346,MODERATE,0.4285,0.0000,0.0000,0.4000,desc_incomplete;desc_hidden_in_hints,desc_incomplete,2,2,2,0,0,2,2,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-13363,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,2,2,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-13401,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-13406,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,3,3,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-13410,CLEAN,0.0000,0.0000,0.0000,0.1000,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-13417,CLEAN,0.0000,0.0000,0.0000,0.4000,clean,clean,1,1,1,0,0,2,2,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-13449,MINOR,0.1800,0.0000,0.0000,0.3000,desc_hidden_in_hints,desc_hidden_in_hints,1,2,2,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-13512,CLEAN,0.0000,0.1667,0.0000,0.3000,clean,clean,1,3,2,1,0,3,3,0,0,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness."
django__django-13513,MINOR,0.3158,0.2500,0.0000,0.2000,mistest_undertest;mispatch_ancillary_bundling,mispatch_ancillary_bundling,2,4,2,2,0,1,1,0,0,1,0,0,"EXCESS_PATCH: 2 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness."
django__django-13516,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
django__django-13551,MINOR,0.1860,0.2500,0.0000,0.3000,mispatch_ancillary_bundling,mispatch_ancillary_bundling,1,2,1,1,0,2,2,0,0,1,0,0,"EXCESS_PATCH: 1 hunk(s) are infrastructure changes (imports, config). Minor impact on evaluation fairness."
django__django-13568,CLEAN,0.0000,0.0000,0.0000,0.5000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.50).
django__django-13569,MODERATE,0.5244,0.0000,0.0000,0.4000,desc_misleading;desc_hidden_in_hints,desc_misleading,2,1,1,0,0,1,1,0,0,1,0,0,VAGUE_SPEC: Problem statement has moderate ambiguity (score: 0.40).
django__django-13590,CLEAN,0.0000,0.0000,0.0000,0.3000,clean,clean,1,1,1,0,0,1,1,0,0,1,0,0,No contamination signals detected. Evaluation criteria appear fair.
